schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite
9/9/2010,2010,1,NO,14.0,9.0,MIN,NO,-5.0
9/12/2010,2010,1,BUF,10.0,15.0,MIA,MIA,-3.0
9/12/2010,2010,1,CHI,19.0,14.0,DET,CHI,-6.5
9/12/2010,2010,1,HOU,34.0,24.0,IND,IND,-1.0
9/12/2010,2010,1,JAX,24.0,17.0,DEN,JAX,-3.0
9/12/2010,2010,1,NE,38.0,24.0,CIN,NE,-5.5
9/12/2010,2010,1,NYG,31.0,18.0,CAR,NYG,-6.0
9/12/2010,2010,1,PHI,20.0,27.0,GB,GB,-3.0
9/12/2010,2010,1,PIT,15.0,9.0,ATL,ATL,-1.5
9/12/2010,2010,1,SEA,31.0,6.0,SF,SF,-3.0
9/12/2010,2010,1,LAR,13.0,17.0,ARI,ARI,-3.0
9/12/2010,2010,1,TB,17.0,14.0,CLE,TB,-2.5
9/12/2010,2010,1,TEN,38.0,13.0,OAK,TEN,-6.5
9/12/2010,2010,1,WAS,13.0,7.0,DAL,DAL,-3.0
9/13/2010,2010,1,KC,21.0,14.0,LAC,LAC,-4.0
9/13/2010,2010,1,NYJ,9.0,10.0,BAL,NYJ,-1.0
9/19/2010,2010,2,ATL,41.0,7.0,ARI,ATL,-7.0
9/19/2010,2010,2,CAR,7.0,20.0,TB,CAR,-4.0
9/19/2010,2010,2,CIN,15.0,10.0,BAL,BAL,-3.0
9/19/2010,2010,2,CLE,14.0,16.0,KC,CLE,-3.0
9/19/2010,2010,2,DAL,20.0,27.0,CHI,DAL,-7.0
9/19/2010,2010,2,DEN,31.0,14.0,SEA,DEN,-3.5
9/19/2010,2010,2,DET,32.0,35.0,PHI,PHI,-6.5
9/19/2010,2010,2,GB,34.0,7.0,BUF,GB,-13.0
9/19/2010,2010,2,IND,38.0,14.0,NYG,IND,-4.0
9/19/2010,2010,2,MIN,10.0,14.0,MIA,MIN,-6.0
9/19/2010,2010,2,NYJ,28.0,14.0,NE,NE,-3.0
9/19/2010,2010,2,OAK,16.0,14.0,LAR,OAK,-3.0
9/19/2010,2010,2,LAC,38.0,13.0,JAX,LAC,-7.0
9/19/2010,2010,2,TEN,11.0,19.0,PIT,TEN,-6.0
9/19/2010,2010,2,WAS,27.0,30.0,HOU,HOU,-3.0
9/20/2010,2010,2,SF,22.0,25.0,NO,NO,-5.0
9/26/2010,2010,3,ARI,24.0,23.0,OAK,ARI,-5.5
9/26/2010,2010,3,BAL,24.0,17.0,CLE,BAL,-12.5
9/26/2010,2010,3,CAR,7.0,20.0,CIN,CIN,-3.5
9/26/2010,2010,3,DEN,13.0,27.0,IND,IND,-6.0
9/26/2010,2010,3,HOU,13.0,27.0,DAL,HOU,-2.5
9/26/2010,2010,3,JAX,3.0,28.0,PHI,PHI,-3.0
9/26/2010,2010,3,KC,31.0,10.0,SF,SF,-3.0
9/26/2010,2010,3,MIA,23.0,31.0,NYJ,MIA,-2.5
9/26/2010,2010,3,MIN,24.0,10.0,DET,MIN,-13.0
9/26/2010,2010,3,NE,38.0,30.0,BUF,NE,-14.5
9/26/2010,2010,3,NO,24.0,27.0,ATL,NO,-3.0
9/26/2010,2010,3,NYG,10.0,29.0,TEN,NYG,-3.0
9/26/2010,2010,3,SEA,27.0,20.0,LAC,LAC,-4.0
9/26/2010,2010,3,LAR,30.0,16.0,WAS,WAS,-5.0
9/26/2010,2010,3,TB,13.0,38.0,PIT,PIT,-3.0
9/27/2010,2010,3,CHI,20.0,17.0,GB,GB,-3.0
10/3/2010,2010,4,ATL,16.0,14.0,SF,ATL,-7.0
10/3/2010,2010,4,BUF,14.0,38.0,NYJ,NYJ,-6.0
10/3/2010,2010,4,CLE,23.0,20.0,CIN,CIN,-2.5
10/3/2010,2010,4,GB,28.0,26.0,DET,GB,-14.5
10/3/2010,2010,4,JAX,31.0,28.0,IND,IND,-7.0
10/3/2010,2010,4,NO,16.0,14.0,CAR,NO,-12.5
10/3/2010,2010,4,NYG,17.0,3.0,CHI,NYG,-3.5
10/3/2010,2010,4,OAK,24.0,31.0,HOU,HOU,-3.5
